	FIELD NAME	VALUE	DESCRIPTION		*Required	*Optional
eml:dataset:title:en	Dataset Title	Plant-flower visitor network from Avon Gorge, UK	The 'title' field provides a description of the resource that is being documented that is long enough to differentiate it from other similar resources.			
eml:dataset:creator:individualName	Creator name	Luisa Gigante Carvalheiro	The full name of the people who created this resource, separated by comma ','			
eml:dataset:creator:organizationName	Organization name	Universidade Federal de Goiás	The full name of the organizations who created this resource, separated by comma ','			
eml:dataset:creator:eletronicMailAddress	Creator email	lgcarvalheiro@gmail.com	The email addresses of the people who created this resource, separated by comma ','			
eml:dataset:creator:address:city	Creator city	Goiania	The cities of the people or organizations who created this resource, separated by comma ','			
eml:dataset:creator:address:country	Creator country	Brazil	The countries of the people or organizations who created this resource, separated by comma ','			
eml:dataset:keywordSet	Keywords	plant-pollinator interactions, flower visitation	Keyword information that describes the resource, separated by comma ','			
eml:dataset:licensed:licenseName	Licence Name	Creative Commons Attribution 4.0 International	The official name of a license that applies to the data and metadata described in this metadata record. The name should match the name of a well-known license from the SPDX license vocabulary or a similar persistent vocabulary			
eml:dataset:licensed:url	Licence URL	https://creativecommons.org/licenses/by/4.0/	The persistent URL for the license, typically a SPDX URL, or an official URL from another well-known license vocabulary.  Users should avoid using arbitrary URLs that are not the official URL for a license.			
eml:dataset:abstract	Abstract	This dataset gathers information on interactions between plants and their flower visitors collected throughout 2004 (11 surveys covering local flowering season) the Avon Gorge (England), an iconic field site well known for its rare plant populations. The study area (1480 m2 ) included a broad range of flowering plants, and overall the dataset shows information for 260 species (81 plant species, 179 insect species and morphospecies). 	A brief overview of the resource.			
eml:dataset:intellectualRights	Intellectual Rights	Creative Commons Attribution 4.0 International	Intellectual property rights regarding usage and licensing of this resource.			
eml:dataset:coverage:geographicCoverage:geographicDescription	Geographic Description	Avon Gorge, Bristol, England	Short text description of the geographic areal domain of the data set.			
eml:dataset:coverage:temporalCoverage:beginDate	Begin Date	2004-05-10	The initial date of the temporal coverage of the data set			
eml:dataset:coverage:temporalCoverage:endDate	End Date	2004-09-27	The final date of the temporal coverage of the data set			
eml:dataset:coverage:taxonomicCoverage:taxonomicSystem:classificationSystem	Classification System	all taxa were identified by specialist taxonomists	 Information about the taxonomic classification system or authority used.			
eml:dataset:coverage:taxonomicCoverage:generalTaxonomicCoverage	General Taxonomic Coverage	All flower visitors detected in the study area (Hymenoptera, Diptera, Coleoptera, Heteroptera, Lepidoptera, Thysanoptera)	 A description of the range of taxa addressed in the data set or collection.			
eml:dataset:methods:sampling:samplingDescription	Sampling Description	 A total of 11 survey visits were carried out from 10 May to 27 September 2004, this covering the main period of insect activity. Flower and insect surveys took place approximately every 14 days under dry conditions. In each flower abundance survey, a stratified random design was used to select 1 m2 quadrats in the study area. The area was divided into nine sub-areas based on habitat type and accessibility. Each sub-area was divided into 1 m2 quadrats and 2·5% (37) of these were randomly selected per sampling occasion. In each quadrat, the number of floral units of each plant species was recorded, defined as the distance that a small bee (c.1 cm length) would fly, rather than walk (Saville 1993). For example, in the Asteraceae, a flower unit is the entire inflorescence while in the Rosaceae, a flower unit is a single flower. Thus, the floral unit is defined from the bee’s perspective rather than by flower anatomy. Rare flowers which were missed using this method were included in the food web data as rare species with an abundance of two flower units (which was the lowest number of units observed in the plot for any species). In the insect surveys, an observation point was chosen for each flowering plant species by randomly selecting one of the quadrats where the species was present. All the flowering units that could be surveyed by a single observer (approximately a semi-circle with 1-m radius) were observed for 20 min. On consecutive sampling occasions, plant species were rotated through three time slots, the morning (09.00–12.00 h), early afternoon (12.00–15.00 h) and late afternoon (15.00–18.00 h), to allow each species to be observed equally over time. At least two floral units were observed per plant species per sample. All flower–visitor interactions were recorded, and all visitors observed were collected for identification. To estimate the overall abundance of each plant species, the average number of flower units per 1 m 2 quadrat was multiplied by the total area of the study site. To estimate the interaction frequency for each visitor–plant species pair, we divided the total number of visits recorded by the number of flower units observed (per 20 min) and then multiplied by the total number of floral units in the study plot. By collecting the insects, we did not allow for repeated visits by the same individual; hence, some visitation frequencies may be underestimated. However, collecting specimens is essential for identification of most visitor species. Hymenoptera, Diptera, and Coleoptera were identified by taxonomists either to species or to morphospecies. Lepidoptera were identified to species by the authors and Heteroptera and parasitoids were morphotyped by the authors.	A description of sampling methods and procedures			
eml:dataset:methods:sampling:citation	Citation	Carvalheiro, LG; Barbosa, E.R.M. & Memmott, J. 2008. Pollinator networks, alien species and the conservation of rare plants: Trinia glauca as a case study. Journal of Applied Ecology, 45,1419-1427. DOI: https://doi.org/10.1111/j.1365-2664.2008.01518.x	Literature citation relating to the sampling procedures used, separated by |			
eml:dataset:project:title	Project Title	Impact and management of invasive plant species: a food web approach	A descriptive title for the research project.			
eml:dataset:project:funding	Project Funding	Fundação para a Ciência e Tecnologia (FCT, Portugal)	The project funding information.			
eml:dataset:referencePublication	Reference Publication	Carvalheiro, LG; Barbosa, E.R.M. & Memmott, J. 2008. Pollinator networks, alien species and the conservation of rare plants: Trinia glauca as a case study. Journal of Applied Ecology, 45,1419-1427. DOI: https://doi.org/10.1111/j.1365-2664.2008.01518.x	A citation to an additional publication that serves as an important reference for a dataset.			
eml:dataset:literatureCited	Literature Cited		A citation to articles or products which were referenced in the dataset or its associated metadata.			
